date,category,time,location
יום חמישי 16.05.2024,ירי רקטות וטילים,22:48,מרגליות
יום חמישי 16.05.2024,חדירת כלי טיס עוין,22:29,"שתולה, שומרה, ערב אל עראמשה, יערה, חניתה, זרעית, גורנות הגליל, גורן, אילון, אדמית, אבן מנחם"
יום חמישי 16.05.2024,ירי רקטות וטילים,22:17,"שאר ישוב, קיבוץ דן, דפנה"
יום חמישי 16.05.2024,חדירת כלי טיס עוין,22:16,"שניר, שאר ישוב, קיבוץ דן, ע'ג'ר, הגושרים, דפנה"
יום חמישי 16.05.2024,ירי רקטות וטילים,21:00,מפלסים
יום חמישי 16.05.2024,ירי רקטות וטילים,21:00,מטווח ניר עם
יום חמישי 16.05.2024,ירי רקטות וטילים,19:44,כרם שלום
יום חמישי 16.05.2024,חדירת כלי טיס עוין,18:54,"שמיר, שדה נחמיה, עמיר, נאות מרדכי, להבות הבשן, כפר סאלד, כפר בלום, גונן"
יום חמישי 16.05.2024,חדירת כלי טיס עוין,18:54,"שניר, שאר ישוב, קיבוץ דן, ע'ג'ר, הגושרים, דפנה"
יום חמישי 16.05.2024,חדירת כלי טיס עוין,18:53,"רמות נפתלי, מרכז אזורי מבואות חרמון, מלכיה, יפתח, דישון"
יום חמישי 16.05.2024,חדירת כלי טיס עוין,18:52,"תל חי, קריית שמונה, משגב עם, מרגליות, מעיין ברוך, מנרה, מטולה, כפר יובל, כפר גלעדי, בית הלל"
יום חמישי 16.05.2024,חדירת כלי טיס עוין,18:17,"שלומי, ראש הנקרה, ערב אל עראמשה, מצובה, לימן, יערה, חניתה, גורנות הגליל, גורן, בצת, אילון, אזור תעשייה אכזיב מילואות, אדמית"
יום חמישי 16.05.2024,ירי רקטות וטילים,17:32,"שלומי, ראש הנקרה, מצובה, לימן, יערה, חניתה, בצת"
יום חמישי 16.05.2024,ירי רקטות וטילים,17:31,"שלומי, מצובה, יערה, חניתה, אדמית"
יום חמישי 16.05.2024,ירי רקטות וטילים,17:02,"תל חי, קריית שמונה, משגב עם, מרגליות, כפר גלעדי"
יום חמישי 16.05.2024,חדירת כלי טיס עוין,16:25,"שניר, שאר ישוב, קיבוץ דן, ע'ג'ר, הגושרים, דפנה, תל חי, קריית שמונה, משגב עם, מרגליות, מעיין ברוך, מנרה, מטולה, כפר יובל, כפר גלעדי, בית הלל"
יום חמישי 16.05.2024,חדירת כלי טיס עוין,15:33,"שניר, שאר ישוב, קיבוץ דן, ע'ג'ר, הגושרים, דפנה, תל חי, קריית שמונה, משגב עם, מרגליות, מעיין ברוך, מנרה, מטולה, כפר יובל, כפר גלעדי, בית הלל"
יום חמישי 16.05.2024,ירי רקטות וטילים,12:18,כרם שלום
יום חמישי 16.05.2024,ירי רקטות וטילים,11:31,נחל עוז
יום חמישי 16.05.2024,ירי רקטות וטילים,11:10,זרעית
יום חמישי 16.05.2024,ירי רקטות וטילים,11:09,זרעית
יום חמישי 16.05.2024,ירי רקטות וטילים,11:08,זרעית
יום חמישי 16.05.2024,ירי רקטות וטילים,11:07,זרעית
יום חמישי 16.05.2024,ירי רקטות וטילים,11:07,זרעית
יום חמישי 16.05.2024,חדירת כלי טיס עוין,11:06,"שתולה, שומרה, זרעית, אבן מנחם"
יום חמישי 16.05.2024,ירי רקטות וטילים,11:04,זרעית
יום חמישי 16.05.2024,ירי רקטות וטילים,10:03,קלע
יום חמישי 16.05.2024,ירי רקטות וטילים,10:03,להבות הבשן
יום חמישי 16.05.2024,ירי רקטות וטילים,10:03,קלע
יום חמישי 16.05.2024,חדירת כלי טיס עוין,08:31,"צוריאל, צבעון, פקיעין, חורפיש, בית ספר שדה מירון"
יום חמישי 16.05.2024,ירי רקטות וטילים,08:30,בית ספר שדה מירון
יום חמישי 16.05.2024,ירי רקטות וטילים,08:30,חורפיש
יום חמישי 16.05.2024,חדירת כלי טיס עוין,08:30,"סאסא, מתת, דוב''ב"
יום חמישי 16.05.2024,חדירת כלי טיס עוין,08:27,"סאסא, מתת, דוב''ב"
יום חמישי 16.05.2024,ירי רקטות וטילים,08:27,חורפיש
יום חמישי 16.05.2024,ירי רקטות וטילים,08:27,מתת
יום חמישי 16.05.2024,חדירת כלי טיס עוין,07:21,"תל חי, קריית שמונה, משגב עם, מרגליות, מעיין ברוך, מנרה, מטולה, כפר יובל, כפר גלעדי, בית הלל"
יום חמישי 16.05.2024,ירי רקטות וטילים,06:06,מטולה
יום רביעי 15.05.2024,חדירת כלי טיס עוין,19:52,כפר נהר הירדן
יום רביעי 15.05.2024,ירי רקטות וטילים,17:01,"שדרות, איבים, ניר עם"
יום רביעי 15.05.2024,ירי רקטות וטילים,16:19,ראש הנקרה
יום רביעי 15.05.2024,ירי רקטות וטילים,16:19,"שלומי, בצת"
יום רביעי 15.05.2024,ירי רקטות וטילים,12:19,נתיב העשרה
יום רביעי 15.05.2024,ירי רקטות וטילים,12:02,ג'ש - גוש חלב
יום רביעי 15.05.2024,ירי רקטות וטילים,12:02,"ספסופה - כפר חושן, אור הגנוז, צבעון, סאסא, בית ספר שדה מירון"
יום רביעי 15.05.2024,ירי רקטות וטילים,12:01,"מרכז אזורי מרום גליל, מירון, בר יוחאי"
יום רביעי 15.05.2024,ירי רקטות וטילים,12:01,צבעון
יום רביעי 15.05.2024,ירי רקטות וטילים,12:00,ברעם
יום רביעי 15.05.2024,ירי רקטות וטילים,12:00,מירון
יום רביעי 15.05.2024,ירי רקטות וטילים,11:50,צבעון
יום רביעי 15.05.2024,ירי רקטות וטילים,11:50,סאסא
יום רביעי 15.05.2024,ירי רקטות וטילים,11:50,בית ספר שדה מירון
יום רביעי 15.05.2024,ירי רקטות וטילים,11:48,"תל חי, קריית שמונה, משגב עם, מרגליות, כפר גלעדי"
יום רביעי 15.05.2024,ירי רקטות וטילים,10:00,"שדרות, איבים, ניר עם"
יום רביעי 15.05.2024,ירי רקטות וטילים,09:04,"שדרות, איבים, ניר עם"
